@relation ind_clean
@attribute country {'Austria','Belgium','Bulgaria','Cyprus','Croatia','Czechia','Denmark','Estonia','Finland','France','Germany','Greece','Hungary','Ireland','Italy','Latvia','Lithuania','Luxembourg','Malta','Netherlands','Poland','Portugal','Romania','Slovakia','Slovenia','Spain','Sweden'}
@attribute g3_1 numeric
@attribute g3_2 numeric
@attribute g3_3 numeric
@attribute g3_4 numeric
@attribute g3_5 numeric
@attribute g3_6 numeric
@attribute g3_7 numeric
@attribute g4_1 numeric
@attribute g4_2 numeric
@attribute g4_3 numeric
@attribute g4_4 numeric
@attribute g4_5 numeric
@attribute g5_1 numeric
@attribute g5_2 numeric
@attribute g5_3 numeric
@attribute g5_4 numeric
@attribute g5_5 numeric
@attribute g5_6 numeric
@attribute g5_7 numeric
@attribute g6_1 numeric
@attribute g6_2 numeric
@attribute g6_3 numeric
@attribute g7_1 numeric
@attribute g7_2 numeric
@attribute g8_1 numeric
@attribute g8_2 numeric
@attribute g8_3 numeric
@attribute g9_1 numeric
@attribute g9_2 numeric
@attribute g9_3 numeric
@attribute g9_4 numeric
@attribute g9_6 numeric
@attribute g9_7 numeric
@attribute g9_8 numeric
@attribute g9_9 numeric
@attribute g9_10 numeric
@attribute g9_11 numeric
@attribute g11_1 numeric
@attribute g11_2 numeric
@attribute g11_3 numeric
@attribute g11_4 numeric
@attribute g12_1 numeric
@attribute g12_2 numeric
@attribute g13_1 numeric
@attribute g13_2 numeric
@attribute g15_1 numeric
@attribute g16_1 numeric
@attribute g16_2 numeric
@attribute g17_1 numeric
@data
'Cyprus',77.8,14.7,1,10.482,1.3,2.3,185.27,9.2,5.9,40,48.1,10,10.4,11.3,11,2.59999999999999,17.9,15.3,4,0.5,0.5,29.8,35.099,21,76,22,2.1,39.6,33,7.9,49.3,33.212,27.04,24.08,28.0566,0.68284,9.1233,31.1,12.7,13.7,2,16.1,50.2,11.3,8.4,43.1,50.3,59,19.7
'Latvia',47.1,21.6,2.8,7.322,1.9,3.6,525.27,8.7,11.3,31.4,47.5,13.8,19.6,15.1,3.2,9.7,30,34,6,10.2,8.7,98.69,57.764,8,77.3,17.2,2.4,38.2,32,14.6,42.3,16.606,14.4326,15.05,9.6954,0.77486,5.0406,19.3,6.1,7.9,1.2,41,43.3,6.3,18.3,55.4,69.6,45,43.8
'Lithuania',46.2,17.4,0.2,10.294,2,3.7,492.63,4,11.1,37.9,27.9,19.9,14,13.9,1,9.5,24.1,29.4,0,9.6,10,75.8,47.362,26.7,78,21.6,1.9,37.5,48,20.6,62.4,7.659,38.9714,32.585,35.035,1.5351,17.7723,14,3.2,8.6,1.6,49.4,36.4,7.4,17.1,39.5,54.7,49,52
'Luxembourg',71.9,16,0.2,8.955,1.5,2.8,202.08,7.2,14.4,41,48.1,4,1.4,2.3,8.49999999999999,3.30000000000001,28.3,24.8,7,0.3,0.1,97,8.708,2.4,72,15.2,1.3,56.2,41,6,64.9,28.106,42.1148,59.955,37.7806,0.1978,9.8673,15.4,11.2,5.6,2,48.9,44.1,20.3,15.2,35.5,60.1,70,59.8
'Hungary',58.3,20,0.4,7.259,2,3.7,506.71,11.8,11.3,22.5,55.7,12.2,12.2,7.9,14.3,7.3,12.2,30.4,6,2.8,3.1,80.36,18.12,5.4,72.6,15.7,1.1,44.6,14,22.8,41,14.053,13.52,10.78,8.7516,0.903,5.3382,22.3,5.3,11,1.5,35.9,50.5,6.6,12.4,26.1,52.8,43,67.5
'Malta',74.2,25.7,0,8.171,4.7,7,202.9,17.2,11.3,26.7,36.3,12,13,5,19.6,4.09999999999999,14.9,22,2,0.1,0.1,14.86,25.695,7.8,75.9,16.2,0.9,50.2,32,10.9,66.8,26.841,19.3674,21.595,17.1314,0.9288,2.4273,7.6,13.6,8.6,2.2,8.9,20.8,5.5,33.9,10.5,50,56,73.8
'Netherlands',74.8,12.7,0.1,16.66,2.6,4,192.89,7.5,21.8,34.8,64.1,12.8,14.7,1.7,8.10000000000001,4.59999999999999,35.1,31.7,7,0.1,0.1,99.5,7.081,3,80.9,20.7,1,48.9,48,14.9,75.1,26.841,52.5252,29.995,37.6662,0.09632,15.1776,14.7,16.3,4.3,2,56.9,41,11.6,14.9,10.8,81.2,71,86.3
'Austria',71.3,15,0.2,16.974,2.1,3.5,233.13,7.8,15.7,31.1,59.9,22.8,20.4,0,8.8,1.5,38.9,23,9,0.2,0.5,99.78,33.798,1.8,77.1,18.7,1.1,45,43,21,43.6,16.606,48.0974,57.61,42.2136,0.57018,23.9289,9.4,8.4,7.1,1.6,58.2,46,9.2,10.5,46.4,69.7,83,50.2
'Poland',59.9,16.9,0.9,4.189,2.7,4.4,351.38,5.2,21.2,28.2,25.5,20.9,8.5,10.8,14.2,5.8,27.9,30.4,3,2.1,1.7,74,15.982,4.2,70.6,13.3,0.7,37.5,29,27,46.1,10.212,9.4302,0,5.3196,1.05092,3.7479,10.8,4.4,8.1,1.1,34.1,39.1,11,13.8,36.1,40.4,39,40.5
'Portugal',50.1,15.7,1.4,26.901,2,3.7,222.07,10.6,15.2,23.8,46.1,20.5,8.9,8.8,6,10.1,40.4,29.4,5,0.8,0.7,84.64,41.646,18.9,75.5,17.6,2.8,40,42,17.3,67.1,29.394,59.826,53.13,55.8272,0.9847,9.765,24.4,6.7,8,1.7,28.9,43.5,7,13.5,50,41,42,61.4
'Romania',71.2,10.4,3.5,7.647,3.4,7,512.64,15.3,4.1,16,7,15.9,2.2,2.5,17.8,9.10000000000001,19.8,11.8,4,22.8,24.2,48.1,25.739,9.3,68.6,4.8,1.7,29,23,24.1,49.2,1.288,0,0,0,0,0.5859,9.4,9.6,14.7,1.1,11.5,25,6,13.5,35.4,11.7,40,56.4
'Slovenia',66.7,16.2,0,6.775,1.2,2.1,265.42,4.6,17.3,29.3,46.1,20.7,9.3,11.8,6.2,6,22.1,33.3,1,0.1,0.1,68.9,31.164,2.3,75.2,13.9,1.9,46,33,27.2,44,29.394,23.66,23.275,19.8198,0.7224,12.5736,20.6,8,7,1.6,59.2,33.6,8.5,16.2,62.5,53,39,45
'Slovakia',65.2,14.4,0.6,4.28,2.9,5.8,412.43,8.3,12.8,23.1,46.1,13.9,19.8,7.7,12,8,20.7,26.1,0,1.4,1.8,65.7,19.696,7.8,72.7,12,3.4,46,31,28.3,37,16.606,15.4804,13.02,11.869,0.77314,8.0073,5.7,5.6,10.3,1.2,38.5,45.8,8,9.5,48.6,59,28,36.8
'Finland',68.5,20.6,0.1,12.477,1.4,2.4,236.57,7.3,21,38.5,54.1,23.8,17.1,12.6,2.3,1.2,46.5,39,3,0.3,0.3,85,57.487,1.8,78.3,24,1.2,50.9,43,21,63.9,40.894,59.826,49.385,55.8272,0.7611,23.0547,4.1,6.4,8.2,1.9,43.5,49.2,10.7,9.4,70.1,87.3,83,31.7
'Sweden',76,14,0,6.374,1.4,2.6,184.63,6.5,19.4,37.8,63.8,14.9,12.1,13.1,3.39999999999999,5.7,47.6,43.3,3,0.1,0,95,66.119,1.9,82.9,23.3,0.9,58.2,37,18.1,76.7,34.5,39.546,36.925,35.5498,0.79292,13.7454,7,13,5.5,1.8,46.6,45.4,5.4,6.6,66.6,86,79,71.9
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1
