@relation full_df
@attribute Country {'Austria','Belgium','Bulgaria','Cyprus','Croatia','Czechia','Denmark','Estonia','Finland','France','Germany','Greece','Hungary','Ireland','Italy','Latvia','Lithuania','Luxembourg','Malta','Netherlands','Poland','Portugal','Romania','Slovakia','Slovenia','Spain','Sweden'}
@attribute G3.1 numeric
@attribute G3.2 numeric
@attribute G3.3 numeric
@attribute G3.4 numeric
@attribute G3.5 numeric
@attribute G3.6 numeric
@attribute G3.7 numeric
@attribute G4.1 numeric
@attribute G4.2 numeric
@attribute G4.3 numeric
@attribute G4.4 numeric
@attribute G4.5 numeric
@attribute G5.1 numeric
@attribute G5.2 numeric
@attribute G5.3 numeric
@attribute G5.4 numeric
@attribute G5.5 numeric
@attribute G5.6 numeric
@attribute G5.7 numeric
@attribute G6.1 numeric
@attribute G6.2 numeric
@attribute G6.3 numeric
@attribute G7.1 numeric
@attribute G7.2 numeric
@attribute G8.1 numeric
@attribute G8.2 numeric
@attribute G8.3 numeric
@attribute G9.1 numeric
@attribute G9.2 numeric
@attribute G9.3 numeric
@attribute G9.4 numeric
@attribute G9.6 numeric
@attribute G9.7 numeric
@attribute G9.8 numeric
@attribute G9.9 numeric
@attribute G9.10 numeric
@attribute G9.11 numeric
@attribute G11.1 numeric
@attribute G11.2 numeric
@attribute G11.3 numeric
@attribute G11.4 numeric
@attribute G12.1 numeric
@attribute G12.2 numeric
@attribute G13.1 numeric
@attribute G13.2 numeric
@attribute G15.1 numeric
@attribute G16.1 numeric
@attribute G16.2 numeric
@attribute G17.1 numeric
@attribute AHDI numeric
@data
'Croatia',60.5,18.2,0.3,8.5730000000000004,2.9,4.8,370.95,3,8.5,22,31.8,18.600000000000001,10.5,7.3000000000000007,9.8999999999999986,4.3999999999999986,19.899999999999999,26.3,7,0.9,1.1000000000000001,36.9,36.792999999999999,6.6,66.5,14.3,2.4,39.700000000000003,26,19.7,40.1,23,29.946799999999993,38.814999999999998,25.768600000000003,1.2229199999999998,9.8766000000000016,10.199999999999999,2.7,11.8,1.1000000000000001,30.2,83.4,6,5.9,58.1,33,18,22.8,0.784859605225299
'Italy',72.900000000000006,10.8,1.3,8.770999999999999,1.9,3.1,175,13.5,12.1,17.399999999999999,41.5,15.5,3.9,5.4000000000000021,17.899999999999999,6.0999999999999943,35.799999999999997,30,7,0.7,0.8,59.6,19.673999999999999,11.1,65.7,13.6,5.6,41.1,35,18.8,37.4,17.893999999999998,42.587999999999994,40.704999999999998,42.928599999999996,0.71637999999999991,5.2080000000000011,14,9.4,18.100000000000001,1.4,49.8,32.1,7.3,12.4,37.1,23.4,37,30.6,0.847991843175888
'Cyprus',77.8,14.7,1,10.481999999999999,1.3,2.2999999999999998,185.27,9.1999999999999993,5.9,40,48.1,10,10.4,11.299999999999997,11,2.5999999999999943,17.899999999999999,15.3,4,0.5,0.5,29.8,35.098999999999997,21,76,22,2.1,39.6,33,7.9,49.3,33.212000000000003,27.04,24.08,28.0566,0.68284000000000011,9.1233000000000004,31.1,12.7,13.7,2,16.100000000000001,50.2,11.3,8.4,43.1,50.3,59,19.7,0.817499900305232
'Latvia',47.1,21.6,2.8,7.3220000000000001,1.9,3.6,525.27,8.6999999999999993,11.3,31.4,47.5,13.8,19.600000000000001,15.100000000000001,3.2000000000000028,9.7000000000000028,30,34,6,10.199999999999999,8.6999999999999993,98.69,57.764000000000003,8,77.3,17.2,2.4,38.200000000000003,32,14.6,42.3,16.606000000000002,14.432600000000001,15.05,9.6953999999999994,0.77485999999999988,5.0406000000000004,19.3,6.1,7.9,1.2,41,43.3,6.3,18.3,55.4,69.599999999999994,45,43.8,0.788201472131123
'Lithuania',46.2,17.399999999999999,0.2,10.294,2,3.7,492.63,4,11.1,37.9,27.9,19.899999999999999,14,13.900000000000002,1,9.5,24.1,29.4,0,9.6,10,75.8,47.362000000000002,26.7,78,21.6,1.9,37.5,48,20.6,62.4,7.6589999999999998,38.971399999999996,32.585000000000001,35.034999999999997,1.5350999999999999,17.772300000000001,14,3.2,8.6,1.6,49.4,36.4,7.4,17.100000000000001,39.5,54.7,49,52,0.805269502996984
'Luxembourg',71.900000000000006,16,0.2,8.9550000000000001,1.5,2.8,202.08,7.2,14.4,41,48.1,4,1.4,2.3000000000000043,8.4999999999999929,3.3000000000000114,28.3,24.8,7,0.3,0.1,97,8.7080000000000002,2.4,72,15.2,1.3,56.2,41,6,64.900000000000006,28.105999999999998,42.114799999999995,59.954999999999998,37.7806,0.1978,9.8673000000000002,15.4,11.2,5.6,2,48.9,44.1,20.3,15.2,35.5,60.1,70,59.8,0.909429644919072
'Hungary',58.3,20,0.4,7.2590000000000003,2,3.7,506.71,11.8,11.3,22.5,55.7,12.2,12.2,7.8999999999999986,14.299999999999997,7.3000000000000043,12.2,30.4,6,2.8,3.1,80.36,18.12,5.4,72.599999999999994,15.7,1.1000000000000001,44.6,14,22.8,41,14.052999999999999,13.52,10.78,8.7516000000000016,0.90300000000000002,5.3382000000000005,22.3,5.3,11,1.5,35.9,50.5,6.6,12.4,26.1,52.8,43,67.5,0.789658386746579
'Malta',74.2,25.7,0,8.1709999999999994,4.7,7,202.9,17.2,11.3,26.7,36.299999999999997,12,13,5,19.600000000000009,4.0999999999999943,14.9,22,2,0.1,0.1,14.86,25.695,7.8,75.900000000000006,16.2,0.9,50.2,32,10.9,66.8,26.840999999999998,19.367399999999996,21.594999999999999,17.131399999999999,0.92879999999999996,2.4273000000000002,7.6,13.6,8.6,2.2000000000000002,8.9,20.8,5.5,33.9,10.5,50,56,73.8,0.8488769797101
'Netherlands',74.8,12.7,0.1,16.66,2.6,4,192.89,7.5,21.8,34.799999999999997,64.099999999999994,12.8,14.7,1.7000000000000028,8.1000000000000085,4.5999999999999943,35.1,31.7,7,0.1,0.1,99.5,7.0810000000000004,3,80.900000000000006,20.7,1,48.9,48,14.9,75.099999999999994,26.840999999999998,52.525199999999998,29.995000000000001,37.666199999999996,9.6320000000000003E-2,15.1776,14.7,16.3,4.3,2,56.9,41,11.6,14.9,10.8,81.2,71,86.3,0.902891924192396
'Austria',71.3,15,0.2,16.974,2.1,3.5,233.13,7.8,15.7,31.1,59.9,22.8,20.399999999999999,0,8.7999999999999972,1.5,38.9,23,9,0.2,0.5,99.78,33.798000000000002,1.8,77.099999999999994,18.7,1.1000000000000001,45,43,21,43.6,16.606000000000002,48.0974,57.61,42.2136,0.57017999999999991,23.928900000000002,9.4,8.4,7.1,1.6,58.2,46,9.1999999999999993,10.5,46.4,69.7,83,50.2,0.903826864445485
'Poland',59.9,16.899999999999999,0.9,4.1890000000000001,2.7,4.4000000000000004,351.38,5.2,21.2,28.2,25.5,20.9,8.5,10.8,14.199999999999996,5.7999999999999972,27.9,30.4,3,2.1,1.7,74,15.981999999999999,4.2,70.599999999999994,13.3,0.7,37.5,29,27,46.1,10.212,9.4301999999999992,0,5.3196000000000003,1.0509200000000001,3.7479,10.8,4.4000000000000004,8.1,1.1000000000000001,34.1,39.1,11,13.8,36.1,40.4,39,40.5,0.794361744895959
'Portugal',50.1,15.7,1.4,26.901,2,3.7,222.07,10.6,15.2,23.8,46.1,20.5,8.9,8.8000000000000007,6,10.100000000000001,40.4,29.4,5,0.8,0.7,84.64,41.646000000000001,18.899999999999999,75.5,17.600000000000001,2.8,40,42,17.3,67.099999999999994,29.394000000000002,59.825999999999993,53.13,55.827200000000005,0.98470000000000002,9.7650000000000006,24.4,6.7,8,1.7,28.9,43.5,7,13.5,50,41,42,61.4,0.811213671615053
'Romania',71.2,10.4,3.5,7.6470000000000002,3.4,7,512.64,15.3,4.0999999999999996,16,7,15.9,2.2000000000000002,2.5,17.799999999999997,9.1000000000000085,19.8,11.8,4,22.8,24.2,48.1,25.739000000000001,9.3000000000000007,68.599999999999994,4.8,1.7,29,23,24.1,49.2,1.2879999999999998,0,0,0,0,0.58590000000000009,9.4,9.6,14.7,1.1000000000000001,11.5,25,6,13.5,35.4,11.7,40,56.4,0.775934609424452
'Slovenia',66.7,16.2,0,6.7750000000000004,1.2,2.1,265.42,4.5999999999999996,17.3,29.3,46.1,20.7,9.3000000000000007,11.799999999999997,6.2000000000000028,6,22.1,33.299999999999997,1,0.1,0.1,68.900000000000006,31.164000000000001,2.2999999999999998,75.2,13.9,1.9,46,33,27.2,44,29.394000000000002,23.66,23.274999999999999,19.819800000000001,0.72239999999999993,12.573599999999999,20.6,8,7,1.6,59.2,33.6,8.5,16.2,62.5,53,39,45,0.869968098922263
'Slovakia',65.2,14.4,0.6,4.28,2.9,5.8,412.43,8.3000000000000007,12.8,23.1,46.1,13.9,19.8,7.6999999999999993,12.000000000000007,8,20.7,26.1,0,1.4,1.8,65.7,19.696000000000002,7.8,72.7,12,3.4,46,31,28.3,37,16.606000000000002,15.480399999999998,13.02,11.869000000000002,0.77314000000000005,8.0073000000000008,5.7,5.6,10.3,1.2,38.5,45.8,8,9.5,48.6,59,28,36.799999999999997,0.813928228983633
'Finland',68.5,20.6,0.1,12.477,1.4,2.4,236.57,7.3,21,38.5,54.1,23.8,17.100000000000001,12.600000000000001,2.2999999999999972,1.2000000000000028,46.5,39,3,0.3,0.3,85,57.487000000000002,1.8,78.3,24,1.2,50.9,43,21,63.9,40.893999999999998,59.825999999999993,49.384999999999998,55.827200000000005,0.7611,23.054700000000004,4.0999999999999996,6.4,8.1999999999999993,1.9,43.5,49.2,10.7,9.4,70.099999999999994,87.3,83,31.7,0.912864760988491
'Sweden',76,14,0,6.3740000000000006,1.4,2.6,184.63,6.5,19.399999999999999,37.799999999999997,63.8,14.9,12.1,13.100000000000001,3.3999999999999915,5.7000000000000028,47.6,43.3,3,0.1,0,95,66.119,1.9,82.9,23.3,0.9,58.2,37,18.100000000000001,76.7,34.5,39.545999999999992,36.924999999999997,35.549799999999998,0.79292000000000007,13.745400000000002,7,13,5.5,1.8,46.6,45.4,5.4,6.6,66.599999999999994,86,79,71.900000000000006,0.917189072157484
